Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2049,2049
22,61,2049,2049
23,63,2050,2050
24,66,2052,2052
25,69,2054,2054
26,72,2057,2057
27,75,2061,2061
28,77,2066,2066
29,80,2072,2072
30,83,2078,2078
31,86,2085,2085
32,88,2092,2092
33,91,2099,2099
34,94,2104,2104
35,97,2107,2107
36,100,2108,2108
37,102,2107,2107
38,105,2104,2104
39,108,2099,2099
40,111,2092,2092
41,113,2085,2085
42,116,2078,2078
43,119,2072,2072
44,122,2066,2066
45,125,2061,2061
46,127,2057,2057
47,130,2054,2054
48,133,2052,2052
49,136,2050,2050
50,138,2049,2049
51,141,2049,2049
52,144,2048,2048
53,147,2048,2048
54,150,2048,2048
55,152,2048,2048
56,155,2048,2048
57,158,2048,2048
58,161,2048,2048
59,163,2048,2048
60,166,2048,2048
61,169,2048,2048
62,172,2048,2048
63,175,2048,2048
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2048,2048
84,233,2048,2048
85,236,2048,2048
86,238,2048,2048
87,241,2048,2048
88,244,2048,2048
89,247,2048,2048
90,250,2048,2048
91,252,2048,2048
92,255,2048,2048
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2048,2048
100,277,2048,2048
101,280,2048,2048
102,283,2048,2048
103,286,2048,2048
104,288,2048,2048
105,291,2048,2048
106,294,2048,2048
107,297,2048,2048
108,300,2048,2048
109,302,2048,2048
110,305,2048,2048
111,308,2048,2048
112,311,2048,2048
113,313,2048,2048
114,316,2048,2048
115,319,2048,2048
116,322,2048,2048
117,325,2048,2048
118,327,2048,2048
119,330,2048,2048
120,333,2048,2048
121,336,2048,2048
122,338,2048,2048
123,341,2048,2048
124,344,2048,2048
125,347,2048,2048
126,350,2048,2048
127,352,2048,2048
128,355,2048,2048
129,358,2048,2048
130,361,2048,2048
131,363,2048,2048
132,366,2048,2048
133,369,2048,2048
134,372,2048,2048
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2048,2048
148,411,2048,2048
149,413,2048,2048
150,416,2046,2046
151,419,2039,2039
152,422,2030,2030
153,425,2020,2020
154,427,2030,2030
155,430,2077,2077
156,433,2160,2160
157,436,2270,2270
158,438,2396,2396
159,441,2520,2520
160,444,2613,2613
161,447,2648,2648
162,450,2613,2613
163,452,2519,2519
164,455,2394,2394
165,458,2266,2266
166,461,2152,2152
167,463,2056,2056
168,466,1979,1979
169,469,1925,1925
170,472,1898,1898
171,475,1912,1912
172,477,1947,1947
173,480,1986,1986
174,483,2017,2017
