Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2048,2048
34,94,2048,2048
35,97,2048,2048
36,100,2049,2049
37,102,2049,2049
38,105,2050,2050
39,108,2051,2051
40,111,2053,2053
41,113,2056,2056
42,116,2059,2059
43,119,2063,2063
44,122,2068,2068
45,125,2073,2073
46,127,2079,2079
47,130,2085,2085
48,133,2090,2090
49,136,2094,2094
50,138,2097,2097
51,141,2098,2098
52,144,2097,2097
53,147,2094,2094
54,150,2090,2090
55,152,2085,2085
56,155,2079,2079
57,158,2073,2073
58,161,2068,2068
59,163,2063,2063
60,166,2059,2059
61,169,2056,2056
62,172,2053,2053
63,175,2051,2051
64,177,2050,2050
65,180,2049,2049
66,183,2049,2049
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2048,2048
84,233,2048,2048
85,236,2048,2048
86,238,2048,2048
87,241,2048,2048
88,244,2048,2048
89,247,2048,2048
90,250,2048,2048
91,252,2048,2048
92,255,2048,2048
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2053,2053
100,277,2061,2061
101,280,2080,2080
102,283,2118,2118
103,286,2183,2183
104,288,2279,2279
105,291,2398,2398
106,294,2520,2520
107,297,2613,2613
108,300,2648,2648
109,302,2613,2613
110,305,2519,2519
111,308,2394,2394
112,311,2266,2266
113,313,2152,2152
114,316,2056,2056
115,319,1979,1979
116,322,1925,1925
117,325,1898,1898
118,327,1912,1912
119,330,1947,1947
120,333,1986,1986
121,336,2017,2017
122,338,2035,2035
123,341,2044,2044
124,344,2198,2198
125,347,2198,2198
126,350,2198,2198
127,352,2198,2198
128,355,2198,2198
129,358,2198,2198
130,361,2198,2198
131,363,2198,2198
132,366,2198,2198
133,369,2198,2198
134,372,2198,2198
135,375,2198,2198
136,377,2198,2198
137,380,2198,2198
138,383,2198,2198
139,386,2198,2198
140,388,2198,2198
141,391,2198,2198
142,394,2198,2198
143,397,2198,2198
144,400,2198,2198
145,402,2198,2198
146,405,2198,2198
147,408,2198,2198
148,411,2198,2198
149,413,2198,2198
150,416,2198,2198
151,419,2198,2198
152,422,2198,2198
153,425,2198,2198
154,427,2198,2198
155,430,2196,2196
156,433,2195,2195
157,436,2193,2193
158,438,2191,2191
159,441,2188,2188
160,444,2184,2184
161,447,2180,2180
162,450,2174,2174
163,452,2166,2166
164,455,2157,2157
165,458,2145,2145
166,461,2132,2132
167,463,2117,2117
168,466,2100,2100
169,469,2080,2080
170,472,2060,2060
171,475,2038,2038
172,477,2015,2015
173,480,1993,1993
174,483,1971,1971
