Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2050,2050
2,5,2052,2052
3,8,2054,2054
4,11,2056,2056
5,13,2058,2058
6,16,2060,2060
7,19,2062,2062
8,22,2063,2063
9,25,2064,2064
10,27,2065,2065
11,30,2066,2066
12,33,2066,2066
13,36,2067,2067
14,38,2067,2067
15,41,2067,2067
16,44,2066,2066
17,47,2066,2066
18,50,2065,2065
19,52,2064,2064
20,55,2063,2063
21,58,2061,2061
22,61,2060,2060
23,63,2058,2058
24,66,2057,2057
25,69,2055,2055
26,72,2053,2053
27,75,2052,2052
28,77,2050,2050
29,80,2049,2049
30,83,2047,2047
31,86,2046,2046
32,88,2044,2044
33,91,2043,2043
34,94,2042,2042
35,97,2041,2041
36,100,2040,2040
37,102,2040,2040
38,105,2039,2039
39,108,2039,2039
40,111,2039,2039
41,113,2039,2039
42,116,2039,2039
43,119,2039,2039
44,122,2039,2039
45,125,2040,2040
46,127,2040,2040
47,130,2040,2040
48,133,2041,2041
49,136,2041,2041
50,138,2042,2042
51,141,2042,2042
52,144,2043,2043
53,147,2043,2043
54,150,2044,2044
55,152,2044,2044
56,155,2044,2044
57,158,2044,2044
58,161,2044,2044
59,163,2045,2045
60,166,2045,2045
61,169,2044,2044
62,172,2044,2044
63,175,2044,2044
64,177,2044,2044
65,180,2044,2044
66,183,2044,2044
67,186,2043,2043
68,188,2043,2043
69,191,2043,2043
70,194,2043,2043
71,197,2043,2043
72,200,2043,2043
73,202,2043,2043
74,205,2044,2044
75,208,2044,2044
76,211,2045,2045
77,213,2045,2045
78,216,2046,2046
79,219,2047,2047
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2042,2042
84,233,2034,2034
85,236,2026,2026
86,238,2037,2037
87,241,2085,2085
88,244,2169,2169
89,247,2281,2281
90,250,2408,2408
91,252,2534,2534
92,255,2627,2627
93,258,2663,2663
94,261,2629,2629
95,263,2535,2535
96,266,2410,2410
97,269,2282,2282
98,272,2168,2168
99,275,2072,2072
100,277,1995,1995
101,280,1940,1940
102,283,1912,1912
103,286,1925,1925
104,288,1958,1958
105,291,1996,1996
106,294,2026,2026
107,297,2042,2042
108,300,2048,2048
109,302,2051,2051
110,305,2049,2049
111,308,2047,2047
112,311,2044,2044
113,313,2042,2042
114,316,2040,2040
115,319,2038,2038
116,322,2037,2037
117,325,2035,2035
118,327,2033,2033
119,330,2032,2032
120,333,2031,2031
121,336,2030,2030
122,338,2029,2029
123,341,2028,2028
124,344,2028,2028
125,347,2028,2028
126,350,2028,2028
127,352,2029,2029
128,355,2030,2030
129,358,2030,2030
130,361,2032,2032
131,363,2033,2033
132,366,2034,2034
133,369,2036,2036
134,372,2038,2038
135,375,2040,2040
136,377,2041,2041
137,380,2043,2043
138,383,2045,2045
139,386,2047,2047
140,388,2049,2049
141,391,2051,2051
142,394,2053,2053
143,397,2054,2054
144,400,2056,2056
145,402,2057,2057
146,405,2058,2058
147,408,2060,2060
148,411,2061,2061
149,413,2062,2062
150,416,2064,2064
151,419,2065,2065
152,422,2066,2066
153,425,2068,2068
154,427,2070,2070
155,430,2072,2072
156,433,2075,2075
157,436,2079,2079
158,438,2083,2083
159,441,2088,2088
160,444,2093,2093
161,447,2099,2099
162,450,2106,2106
163,452,2113,2113
164,455,2121,2121
165,458,2128,2128
166,461,2135,2135
167,463,2142,2142
168,466,2148,2148
169,469,2152,2152
170,472,2156,2156
171,475,2158,2158
172,477,2159,2159
173,480,2157,2157
174,483,2155,2155
175,486,2151,2151
176,488,2145,2145
177,491,2138,2138
178,494,2131,2131
179,497,2123,2123
180,500,2115,2115
181,502,2107,2107
182,505,2099,2099
183,508,2091,2091
184,511,2084,2084
185,513,2078,2078
186,516,2072,2072
187,519,2067,2067
188,522,2063,2063
189,525,2059,2059
190,527,2056,2056
191,530,2053,2053
192,533,2051,2051
193,536,2049,2049
194,538,2047,2047
195,541,2045,2045
196,544,2044,2044
197,547,2042,2042
198,550,2041,2041
199,552,2040,2040
200,555,2039,2039
201,558,2038,2038
202,561,2037,2037
203,563,2037,2037
204,566,2036,2036
205,569,2035,2035
206,572,2035,2035
207,575,2035,2035
208,577,2035,2035
209,580,2035,2035
210,583,2035,2035
211,586,2036,2036
212,588,2036,2036
213,591,2037,2037
214,594,2038,2038
215,597,2039,2039
216,600,2040,2040
217,602,2042,2042
218,605,2043,2043
219,608,2045,2045
220,611,2047,2047
221,613,2049,2049
222,616,2051,2051
223,619,2053,2053
224,622,2055,2055
225,625,2056,2056
226,627,2058,2058
227,630,2060,2060
228,633,2062,2062
229,636,2063,2063
230,638,2048,2048
231,641,2050,2050
232,644,2052,2052
233,647,2054,2054
234,650,2056,2056
235,652,2058,2058
236,655,2060,2060
237,658,2062,2062
238,661,2063,2063
239,663,2064,2064
240,666,2065,2065
241,669,2066,2066
242,672,2066,2066
243,675,2067,2067
244,677,2067,2067
245,680,2067,2067
246,683,2066,2066
247,686,2066,2066
248,688,2065,2065
249,691,2064,2064
250,694,2063,2063
251,697,2061,2061
252,700,2060,2060
253,702,2058,2058
254,705,2057,2057
255,708,2055,2055
256,711,2053,2053
257,713,2052,2052
258,716,2050,2050
259,719,2049,2049
260,722,2047,2047
261,725,2046,2046
262,727,2044,2044
263,730,2043,2043
264,733,2042,2042
265,736,2041,2041
266,738,2040,2040
267,741,2040,2040
268,744,2039,2039
269,747,2039,2039
270,750,2039,2039
271,752,2039,2039
272,755,2039,2039
273,758,2039,2039
274,761,2039,2039
275,763,2040,2040
276,766,2040,2040
277,769,2040,2040
278,772,2041,2041
279,775,2041,2041
280,777,2042,2042
281,780,2042,2042
282,783,2043,2043
283,786,2043,2043
284,788,2044,2044
285,791,2044,2044
