Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2052,2052
2,5,2057,2057
3,8,2061,2061
4,11,2065,2065
5,13,2069,2069
6,16,2073,2073
7,19,2077,2077
8,22,2080,2080
9,25,2083,2083
10,27,2086,2086
11,30,2089,2089
12,33,2091,2091
13,36,2093,2093
14,38,2095,2095
15,41,2096,2096
16,44,2097,2097
17,47,2098,2098
18,50,2098,2098
19,52,2098,2098
20,55,2097,2097
21,58,2096,2096
22,61,2095,2095
23,63,2093,2093
24,66,2091,2091
25,69,2089,2089
26,72,2086,2086
27,75,2083,2083
28,77,2080,2080
29,80,2077,2077
30,83,2073,2073
31,86,2069,2069
32,88,2065,2065
33,91,2061,2061
34,94,2057,2057
35,97,2052,2052
36,100,2048,2048
37,102,2044,2044
38,105,2039,2039
39,108,2035,2035
40,111,2031,2031
41,113,2027,2027
42,116,2023,2023
43,119,2019,2019
44,122,2016,2016
45,125,2013,2013
46,127,2010,2010
47,130,2007,2007
48,133,2005,2005
49,136,2003,2003
50,138,2001,2001
51,141,2000,2000
52,144,1999,1999
53,147,1998,1998
54,150,1998,1998
55,152,1998,1998
56,155,1999,1999
57,158,2000,2000
58,161,2001,2001
59,163,2003,2003
60,166,2004,2004
61,169,2005,2005
62,172,2001,2001
63,175,1997,1997
64,177,1994,1994
65,180,2017,2017
66,183,2087,2087
67,186,2206,2206
68,188,2368,2368
69,191,2558,2558
70,194,2748,2748
71,197,2891,2891
72,200,2948,2948
73,202,2900,2900
74,205,2764,2764
75,208,2582,2582
76,211,2398,2398
77,213,2240,2240
78,216,2116,2116
79,219,2024,2024
80,222,1964,1964
81,225,1933,1933
82,227,1950,1950
83,230,1988,1988
84,233,2030,2030
85,236,2062,2062
86,238,2082,2082
87,241,2092,2092
88,244,2097,2097
89,247,2098,2098
90,250,2098,2098
91,252,2098,2098
92,255,2097,2097
93,258,2096,2096
94,261,2095,2095
95,263,2093,2093
96,266,2091,2091
97,269,2089,2089
98,272,2086,2086
99,275,2083,2083
100,277,2080,2080
101,280,2077,2077
102,283,2073,2073
103,286,2069,2069
104,288,2065,2065
105,291,2061,2061
106,294,2057,2057
107,297,2052,2052
108,300,2048,2048
109,302,2044,2044
110,305,2039,2039
111,308,2035,2035
112,311,2031,2031
113,313,2027,2027
114,316,2023,2023
115,319,2019,2019
116,322,2016,2016
117,325,2013,2013
118,327,2010,2010
119,330,2007,2007
