Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2049,2049
11,30,2049,2049
12,33,2050,2050
13,36,2052,2052
14,38,2054,2054
15,41,2057,2057
16,44,2061,2061
17,47,2066,2066
18,50,2072,2072
19,52,2078,2078
20,55,2085,2085
21,58,2092,2092
22,61,2099,2099
23,63,2104,2104
24,66,2107,2107
25,69,2108,2108
26,72,2107,2107
27,75,2104,2104
28,77,2099,2099
29,80,2092,2092
30,83,2085,2085
31,86,2078,2078
32,88,2072,2072
33,91,2066,2066
34,94,2061,2061
35,97,2057,2057
36,100,2054,2054
37,102,2052,2052
38,105,2050,2050
39,108,2049,2049
40,111,2049,2049
41,113,2048,2048
42,116,2048,2048
43,119,2048,2048
44,122,2048,2048
45,125,2048,2048
46,127,2048,2048
47,130,2048,2048
48,133,2048,2048
49,136,2048,2048
50,138,2048,2048
51,141,2048,2048
52,144,2048,2048
53,147,2048,2048
54,150,2048,2048
55,152,2048,2048
56,155,2048,2048
57,158,2048,2048
58,161,2048,2048
59,163,2048,2048
60,166,2048,2048
61,169,2048,2048
62,172,2048,2048
63,175,2048,2048
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2046,2046
72,200,2039,2039
73,202,2030,2030
74,205,2020,2020
75,208,2030,2030
76,211,2077,2077
77,213,2160,2160
78,216,2270,2270
79,219,2396,2396
80,222,2520,2520
81,225,2613,2613
82,227,2648,2648
83,230,2613,2613
84,233,2519,2519
85,236,2394,2394
86,238,2266,2266
87,241,2152,2152
88,244,2056,2056
89,247,1979,1979
90,250,1925,1925
91,252,1898,1898
92,255,1912,1912
93,258,1947,1947
94,261,1986,1986
95,263,2017,2017
96,266,2035,2035
97,269,2044,2044
98,272,2048,2048
99,275,2048,2048
100,277,2048,2048
101,280,2048,2048
102,283,2048,2048
103,286,2048,2048
104,288,2048,2048
105,291,2048,2048
106,294,2048,2048
107,297,2048,2048
108,300,2048,2048
109,302,2048,2048
110,305,2048,2048
111,308,2048,2048
112,311,2048,2048
113,313,2048,2048
114,316,2048,2048
115,319,2048,2048
116,322,2048,2048
117,325,2048,2048
118,327,2048,2048
119,330,2048,2048
120,333,2048,2048
121,336,2048,2048
122,338,2048,2048
123,341,2048,2048
124,344,2048,2048
125,347,2048,2048
126,350,2049,2049
127,352,2049,2049
128,355,2050,2050
129,358,2051,2051
130,361,2052,2052
131,363,2053,2053
132,366,2055,2055
133,369,2057,2057
134,372,2060,2060
135,375,2063,2063
136,377,2067,2067
137,380,2072,2072
138,383,2078,2078
139,386,2084,2084
140,388,2091,2091
141,391,2099,2099
142,394,2107,2107
143,397,2115,2115
144,400,2123,2123
145,402,2131,2131
146,405,2139,2139
147,408,2145,2145
148,411,2151,2151
149,413,2155,2155
150,416,2157,2157
151,419,2158,2158
152,422,2157,2157
153,425,2155,2155
154,427,2048,2048
155,430,2048,2048
156,433,2048,2048
157,436,2048,2048
158,438,2048,2048
159,441,2048,2048
160,444,2048,2048
161,447,2048,2048
162,450,2048,2048
163,452,2048,2048
164,455,2049,2049
165,458,2049,2049
166,461,2050,2050
167,463,2052,2052
168,466,2054,2054
169,469,2057,2057
170,472,2061,2061
171,475,2066,2066
172,477,2072,2072
173,480,2078,2078
174,483,2085,2085
