Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2049,2049
34,94,2049,2049
35,97,2050,2050
36,100,2051,2051
37,102,2053,2053
38,105,2056,2056
39,108,2059,2059
40,111,2063,2063
41,113,2068,2068
42,116,2073,2073
43,119,2079,2079
44,122,2085,2085
45,125,2090,2090
46,127,2094,2094
47,130,2097,2097
48,133,2098,2098
49,136,2097,2097
50,138,2094,2094
51,141,2090,2090
52,144,2085,2085
53,147,2079,2079
54,150,2073,2073
55,152,2068,2068
56,155,2063,2063
57,158,2059,2059
58,161,2056,2056
59,163,2053,2053
60,166,2051,2051
61,169,2050,2050
62,172,2049,2049
63,175,2049,2049
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2053,2053
84,233,2055,2055
85,236,2008,2008
86,238,2012,2012
87,241,2018,2018
88,244,2025,2025
89,247,2035,2035
90,250,2047,2047
91,252,2062,2062
92,255,2081,2081
93,258,2103,2103
94,261,2130,2130
95,263,2210,2210
96,266,2245,2245
97,269,2283,2283
98,272,2325,2325
99,275,2368,2368
100,277,2414,2414
101,280,2459,2459
102,283,2502,2502
103,286,2542,2542
104,288,2401,2401
105,291,2421,2421
106,294,2436,2436
107,297,2445,2445
108,300,2448,2448
109,302,2445,2445
110,305,2436,2436
111,308,2421,2421
112,311,2401,2401
113,313,2542,2542
114,316,2502,2502
115,319,2459,2459
116,322,2414,2414
117,325,2368,2368
118,327,2325,2325
119,330,2283,2283
120,333,2245,2245
121,336,2210,2210
122,338,2180,2180
123,341,2153,2153
124,344,2131,2131
125,347,2062,2062
126,350,2047,2047
127,352,2035,2035
128,355,2025,2025
129,358,2018,2018
130,361,2012,2012
131,363,2008,2008
132,366,2005,2005
133,369,1998,1998
134,372,1998,1998
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2048,2048
148,411,2048,2048
149,413,2048,2048
150,416,2048,2048
151,419,2048,2048
152,422,2048,2048
153,425,2048,2048
154,427,2048,2048
155,430,2048,2048
156,433,2048,2048
157,436,2048,2048
158,438,2048,2048
159,441,2048,2048
160,444,2048,2048
161,447,2048,2048
162,450,2048,2048
163,452,2047,2047
164,455,2046,2046
165,458,2046,2046
166,461,2044,2044
167,463,2043,2043
168,466,2041,2041
169,469,2039,2039
170,472,2036,2036
171,475,2032,2032
172,477,2027,2027
173,480,2022,2022
174,483,2015,2015
