Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2049,2049
34,94,2049,2049
35,97,2050,2050
36,100,2051,2051
37,102,2053,2053
38,105,2056,2056
39,108,2059,2059
40,111,2063,2063
41,113,2068,2068
42,116,2073,2073
43,119,2079,2079
44,122,2085,2085
45,125,2090,2090
46,127,2094,2094
47,130,2097,2097
48,133,2098,2098
49,136,2097,2097
50,138,2094,2094
51,141,2090,2090
52,144,2085,2085
53,147,2079,2079
54,150,2073,2073
55,152,2068,2068
56,155,2063,2063
57,158,2059,2059
58,161,2056,2056
59,163,2053,2053
60,166,2051,2051
61,169,2050,2050
62,172,2049,2049
63,175,2049,2049
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2048,2048
84,233,2048,2048
85,236,2048,2048
86,238,2048,2048
87,241,2048,2048
88,244,2048,2048
89,247,2048,2048
90,250,2048,2048
91,252,2048,2048
92,255,2048,2048
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2062,2062
100,277,2087,2087
101,280,2144,2144
102,283,2257,2257
103,286,2452,2452
104,288,2740,2740
105,291,3099,3099
106,294,3465,3465
107,297,3744,3744
108,300,3848,3848
109,302,3744,3744
110,305,3465,3465
111,308,3098,3098
112,311,2737,2737
113,313,2444,2444
114,316,2240,2240
115,319,2111,2111
116,322,2030,2030
117,325,1960,1960
118,327,1930,1930
119,330,1907,1907
120,333,1898,1898
121,336,1907,1907
122,338,1930,1930
123,341,1960,1960
124,344,1990,1990
125,347,2014,2014
126,350,2031,2031
127,352,2040,2040
128,355,2045,2045
129,358,1948,1948
130,361,1948,1948
131,363,1948,1948
132,366,1948,1948
133,369,1948,1948
134,372,1948,1948
135,375,1948,1948
136,377,1948,1948
137,380,1948,1948
138,383,1948,1948
139,386,1948,1948
140,388,1948,1948
141,391,1948,1948
142,394,1948,1948
143,397,1948,1948
144,400,1948,1948
145,402,1948,1948
146,405,1948,1948
147,408,1948,1948
148,411,1948,1948
149,413,1948,1948
150,416,1948,1948
151,419,1948,1948
152,422,1948,1948
153,425,1948,1948
154,427,1948,1948
155,430,1947,1947
156,433,1946,1946
157,436,1946,1946
158,438,1944,1944
159,441,1943,1943
160,444,1941,1941
161,447,1939,1939
162,450,1936,1936
163,452,1932,1932
164,455,1927,1927
165,458,1922,1922
166,461,1915,1915
167,463,1907,1907
168,466,1899,1899
169,469,1889,1889
170,472,1879,1879
171,475,1868,1868
172,477,1857,1857
173,480,1845,1845
174,483,1834,1834
