Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2049,2049
34,94,2049,2049
35,97,2050,2050
36,100,2051,2051
37,102,2053,2053
38,105,2056,2056
39,108,2059,2059
40,111,2063,2063
41,113,2068,2068
42,116,2073,2073
43,119,2079,2079
44,122,2085,2085
45,125,2090,2090
46,127,2094,2094
47,130,2097,2097
48,133,2098,2098
49,136,2097,2097
50,138,2094,2094
51,141,2090,2090
52,144,2085,2085
53,147,2079,2079
54,150,2073,2073
55,152,2068,2068
56,155,2063,2063
57,158,2059,2059
58,161,2056,2056
59,163,2053,2053
60,166,2051,2051
61,169,2050,2050
62,172,2049,2049
63,175,2049,2049
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2048,2048
84,233,2048,2048
85,236,2048,2048
86,238,2048,2048
87,241,2048,2048
88,244,2048,2048
89,247,2048,2048
90,250,2048,2048
91,252,2048,2048
92,255,2048,2048
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2051,2051
100,277,2057,2057
101,280,2069,2069
102,283,2095,2095
103,286,2138,2138
104,288,2202,2202
105,291,2282,2282
106,294,2363,2363
107,297,2425,2425
108,300,2448,2448
109,302,2425,2425
110,305,2363,2363
111,308,2272,2272
112,311,2176,2176
113,313,2074,2074
114,316,1955,1955
115,319,1800,1800
116,322,1595,1595
117,325,1347,1347
118,327,1103,1103
119,330,918,918
120,333,848,848
121,336,918,918
122,338,1103,1103
123,341,1347,1347
124,344,1587,1587
125,347,1779,1779
126,350,1908,1908
127,352,1984,1984
128,355,2022,2022
129,358,2048,2048
130,361,2048,2048
131,363,2048,2048
132,366,2048,2048
133,369,2048,2048
134,372,2048,2048
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2048,2048
148,411,2048,2048
149,413,2048,2048
150,416,2048,2048
151,419,2048,2048
152,422,2048,2048
153,425,2048,2048
154,427,2048,2048
155,430,2049,2049
156,433,2049,2049
157,436,2050,2050
158,438,2051,2051
159,441,2052,2052
160,444,2053,2053
161,447,2055,2055
162,450,2057,2057
163,452,2060,2060
164,455,2063,2063
165,458,2067,2067
166,461,2072,2072
167,463,2078,2078
168,466,2084,2084
169,469,2091,2091
170,472,2099,2099
171,475,2107,2107
172,477,2115,2115
173,480,2123,2123
174,483,2131,2131
175,486,2139,2139
