Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2048,2048
34,94,2048,2048
35,97,2048,2048
36,100,2048,2048
37,102,2048,2048
38,105,2048,2048
39,108,2048,2048
40,111,2048,2048
41,113,2048,2048
42,116,2048,2048
43,119,2048,2048
44,122,2046,2046
45,125,2039,2039
46,127,2032,2032
47,130,2026,2026
48,133,2046,2046
49,136,2112,2112
50,138,2227,2227
51,141,2385,2385
52,144,2571,2571
53,147,2757,2757
54,150,2896,2896
55,152,2948,2948
56,155,2896,2896
57,158,2755,2755
58,161,2569,2569
59,163,2381,2381
60,166,2219,2219
61,169,2091,2091
62,172,1995,1995
63,175,1932,1932
64,177,1898,1898
65,180,1912,1912
66,183,1947,1947
67,186,1986,1986
68,188,2017,2017
69,191,2035,2035
70,194,2044,2044
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2048,2048
83,230,2048,2048
84,233,2048,2048
85,236,2048,2048
86,238,2048,2048
87,241,2049,2049
88,244,2049,2049
89,247,2050,2050
90,250,2051,2051
91,252,2052,2052
92,255,2053,2053
93,258,2055,2055
94,261,2057,2057
95,263,2060,2060
96,266,2063,2063
97,269,2067,2067
98,272,2072,2072
99,275,2078,2078
100,277,2084,2084
101,280,2091,2091
102,283,2099,2099
103,286,2107,2107
104,288,2115,2115
105,291,2123,2123
106,294,2131,2131
107,297,2139,2139
108,300,2145,2145
109,302,2151,2151
110,305,2155,2155
111,308,2157,2157
112,311,2158,2158
113,313,2157,2157
114,316,2155,2155
115,319,2151,2151
116,322,2145,2145
117,325,2139,2139
118,327,2131,2131
119,330,2123,2123
120,333,2115,2115
121,336,2107,2107
122,338,2099,2099
123,341,2091,2091
124,344,2084,2084
125,347,2078,2078
126,350,2072,2072
127,352,2048,2048
128,355,2048,2048
129,358,2048,2048
130,361,2048,2048
131,363,2048,2048
132,366,2048,2048
133,369,2048,2048
134,372,2048,2048
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2048,2048
148,411,2048,2048
149,413,2048,2048
150,416,2048,2048
151,419,2048,2048
152,422,2048,2048
153,425,2048,2048
154,427,2048,2048
155,430,2048,2048
156,433,2048,2048
157,436,2048,2048
158,438,2048,2048
159,441,2048,2048
160,444,2048,2048
161,447,2048,2048
162,450,2048,2048
163,452,2048,2048
164,455,2048,2048
165,458,2048,2048
166,461,2048,2048
167,463,2048,2048
168,466,2048,2048
169,469,2048,2048
170,472,2048,2048
171,475,2046,2046
172,477,2039,2039
173,480,2032,2032
174,483,2026,2026
