Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2049,2049
22,61,2049,2049
23,63,2050,2050
24,66,2052,2052
25,69,2054,2054
26,72,2057,2057
27,75,2061,2061
28,77,2066,2066
29,80,2072,2072
30,83,2078,2078
31,86,2085,2085
32,88,2092,2092
33,91,2099,2099
34,94,2104,2104
35,97,2107,2107
36,100,2108,2108
37,102,2107,2107
38,105,2104,2104
39,108,2099,2099
40,111,2092,2092
41,113,2085,2085
42,116,2078,2078
43,119,2072,2072
44,122,2066,2066
45,125,2061,2061
46,127,2057,2057
47,130,2054,2054
48,133,2052,2052
49,136,2050,2050
50,138,2049,2049
51,141,2049,2049
52,144,2048,2048
53,147,2048,2048
54,150,2048,2048
55,152,2048,2048
56,155,2048,2048
57,158,2048,2048
58,161,2048,2048
59,163,2048,2048
60,166,2048,2048
61,169,2048,2048
62,172,2048,2048
63,175,2048,2048
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2048,2048
80,222,2048,2048
81,225,2048,2048
82,227,2046,2046
83,230,2039,2039
84,233,2030,2030
85,236,2020,2020
86,238,2030,2030
87,241,2077,2077
88,244,2160,2160
89,247,2270,2270
90,250,2396,2396
91,252,2520,2520
92,255,2613,2613
93,258,2648,2648
94,261,2613,2613
95,263,2519,2519
96,266,2394,2394
97,269,2266,2266
98,272,2152,2152
99,275,2056,2056
100,277,1979,1979
101,280,1925,1925
102,283,1898,1898
103,286,1912,1912
104,288,1947,1947
105,291,1986,1986
106,294,2017,2017
107,297,2035,2035
108,300,2044,2044
109,302,2048,2048
110,305,2048,2048
111,308,2048,2048
112,311,2048,2048
113,313,2048,2048
114,316,2048,2048
115,319,2048,2048
116,322,2048,2048
117,325,2048,2048
118,327,2048,2048
119,330,2048,2048
120,333,2048,2048
121,336,2048,2048
122,338,2048,2048
123,341,2048,2048
124,344,2048,2048
125,347,2048,2048
126,350,2048,2048
127,352,2048,2048
128,355,2048,2048
129,358,2048,2048
130,361,2048,2048
131,363,2048,2048
132,366,2048,2048
133,369,2048,2048
134,372,2048,2048
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2049,2049
148,411,2049,2049
149,413,2050,2050
150,416,2051,2051
151,419,2052,2052
152,422,2053,2053
153,425,2055,2055
154,427,2057,2057
155,430,2060,2060
156,433,2063,2063
157,436,2067,2067
158,438,2072,2072
159,441,2078,2078
160,444,2084,2084
161,447,2091,2091
162,450,2099,2099
163,452,2107,2107
164,455,2115,2115
165,458,2123,2123
166,461,2131,2131
167,463,2139,2139
168,466,2145,2145
169,469,2151,2151
170,472,2155,2155
171,475,2157,2157
172,477,2158,2158
173,480,2157,2157
174,483,2155,2155
