Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2049,2049
22,61,2049,2049
23,63,2050,2050
24,66,2052,2052
25,69,2054,2054
26,72,2059,2059
27,75,2064,2064
28,77,2071,2071
29,80,2079,2079
30,83,2089,2089
31,86,2100,2100
32,88,2113,2113
33,91,2128,2128
34,94,2143,2143
35,97,2158,2158
36,100,2174,2174
37,102,2190,2190
38,105,2206,2206
39,108,2222,2222
40,111,2238,2238
41,113,2254,2254
42,116,2268,2268
43,119,2281,2281
44,122,2292,2292
45,125,2300,2300
46,127,2304,2304
47,130,2054,2054
48,133,1952,1952
49,136,1950,1950
50,138,1955,1955
51,141,1958,1958
52,144,1963,1963
53,147,1972,1972
54,150,1985,1985
55,152,2004,2004
56,155,2129,2129
57,158,2163,2163
58,161,2205,2205
59,163,2257,2257
60,166,2317,2317
61,169,2385,2385
62,172,2457,2457
63,175,2530,2530
64,177,2599,2599
65,180,2660,2660
66,183,2707,2707
67,186,2738,2738
68,188,2748,2748
69,191,2738,2738
70,194,2707,2707
71,197,2660,2660
72,200,2599,2599
73,202,2530,2530
74,205,2457,2457
75,208,2385,2385
76,211,2317,2317
77,213,2257,2257
78,216,2205,2205
79,219,2162,2162
80,222,2128,2128
81,225,2100,2100
82,227,2075,2075
83,230,2052,2052
84,233,1880,1880
85,236,1862,1862
86,238,1848,1848
87,241,1853,1853
88,244,1864,1864
89,247,1877,1877
90,250,1888,1888
91,252,1894,1894
92,255,2047,2047
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2048,2048
100,277,2048,2048
101,280,2048,2048
102,283,2048,2048
103,286,2048,2048
104,288,2048,2048
105,291,2048,2048
106,294,2048,2048
107,297,2048,2048
108,300,2048,2048
109,302,2048,2048
110,305,2048,2048
111,308,2048,2048
112,311,2048,2048
113,313,2048,2048
114,316,2048,2048
115,319,2048,2048
116,322,2048,2048
117,325,2048,2048
118,327,2048,2048
119,330,2048,2048
120,333,2048,2048
121,336,2048,2048
122,338,2047,2047
123,341,2046,2046
124,344,2046,2046
125,347,2044,2044
126,350,2043,2043
127,352,2041,2041
128,355,2039,2039
129,358,2036,2036
130,361,2032,2032
131,363,2027,2027
132,366,2022,2022
133,369,2015,2015
134,372,2007,2007
135,375,1999,1999
136,377,1989,1989
137,380,1979,1979
138,383,1968,1968
139,386,1957,1957
140,388,1945,1945
141,391,1934,1934
142,394,1924,1924
143,397,1915,1915
144,400,1908,1908
145,402,1903,1903
146,405,1899,1899
147,408,1898,1898
148,411,1899,1899
149,413,1903,1903
150,416,1908,1908
151,419,1915,1915
152,422,1924,1924
153,425,1934,1934
154,427,1945,1945
155,430,1957,1957
156,433,1968,1968
157,436,1979,1979
158,438,1989,1989
159,441,1999,1999
160,444,2007,2007
161,447,2015,2015
162,450,2022,2022
163,452,2027,2027
164,455,2032,2032
165,458,2036,2036
166,461,2039,2039
167,463,2041,2041
168,466,2043,2043
169,469,2044,2044
170,472,2046,2046
171,475,2046,2046
172,477,2048,2048
173,480,2048,2048
174,483,2048,2048
