Index,Time_ms,Raw,Filtered
0,1,2582.0,1950.0
1,7,2255.0,1954.0
2,9,1184.0,1953.0
3,11,889.0,1951.0
4,18,1778.0,1953.0
5,18,2588.0,1953.0
6,30,2257.0,1957.0
7,37,1201.0,1958.0
8,37,914.0,1960.0
9,44,1805.0,1966.0
10,48,2611.0,1968.0
11,58,2272.0,1972.0
12,60,1214.0,1974.0
13,68,925.0,1975.0
14,70,1823.0,1982.0
15,79,2639.0,1985.0
16,84,2315.0,1994.0
17,90,1253.0,1999.0
18,93,964.0,2004.0
19,98,1846.0,2010.0
20,101,2660.0,2012.0
21,108,2329.0,2019.0
22,111,1279.0,2024.0
23,113,993.0,2029.0
24,115,1875.0,2036.0
25,123,2676.0,2036.0
26,127,2348.0,2042.0
27,130,1291.0,2045.0
28,134,997.0,2047.0
29,140,1883.0,2052.0
30,142,2695.0,2053.0
31,143,2367.0,2059.0
32,151,1305.0,2061.0
33,153,1012.0,2063.0
34,154,1892.0,2067.0
35,163,2681.0,2063.0
36,167,2355.0,2065.0
37,172,1300.0,2065.0
38,176,991.0,2062.0
39,186,1820.0,2054.0
40,188,2672.0,2051.0
41,195,2341.0,2052.0
42,201,1289.0,2051.0
43,209,992.0,2051.0
44,218,1869.0,2054.0
45,224,2674.0,2051.0
46,228,2338.0,2052.0
47,235,1271.0,2048.0
48,236,971.0,2045.0
49,236,1882.0,2051.0
50,236,2663.0,2047.0
51,248,2339.0,2048.0
52,251,1305.0,2052.0
53,255,1031.0,2058.0
54,257,1953.0,2073.0
55,260,2810.0,2090.0
56,266,2473.0,2108.0
57,267,1412.0,2120.0
58,275,1150.0,2136.0
59,277,2067.0,2156.0
60,277,2902.0,2174.0
61,291,2553.0,2190.0
62,291,1489.0,2201.0
63,307,1156.0,2203.0
64,307,2010.0,2202.0
65,319,2782.0,2189.0
66,326,2410.0,2177.0
67,337,1321.0,2160.0
68,339,989.0,2139.0
69,340,1883.0,2125.0
70,351,2678.0,2107.0
71,354,2332.0,2095.0
72,363,1259.0,2081.0
73,365,948.0,2067.0
74,370,1843.0,2060.0
75,370,2620.0,2043.0
76,370,2291.0,2035.0
77,384,1226.0,2027.0
78,386,930.0,2019.0
79,391,1815.0,2015.0
80,394,2622.0,2007.0
81,394,2292.0,2006.0
82,394,1226.0,2003.0
83,405,935.0,2001.0
84,405,1825.0,2002.0
85,413,2635.0,1999.0
86,418,2290.0,2000.0
87,418,1181.0,1990.0
88,418,862.0,1978.0
89,435,1866.0,1991.0
90,444,2947.0,2042.0
91,444,2939.0,2143.0
92,451,2115.0,2269.0
93,454,2037.0,2415.0
94,472,3148.0,2577.0
95,475,4095.0,2727.0
96,484,3625.0,2829.0
97,487,2143.0,2842.0
98,492,1596.0,2812.0
99,497,2262.0,2744.0
100,497,2859.0,2638.0
101,501,2318.0,2518.0
102,501,1123.0,2401.0
103,506,809.0,2304.0
104,508,1757.0,2231.0
105,508,2646.0,2176.0
106,518,2368.0,2146.0
107,521,1327.0,2132.0
108,524,1012.0,2120.0
109,531,1876.0,2104.0
110,533,2682.0,2080.0
111,537,2341.0,2064.0
112,545,1279.0,2055.0
113,545,971.0,2048.0
114,549,1846.0,2040.0
115,555,2643.0,2022.0
116,566,2316.0,2014.0
117,570,1257.0,2009.0
118,581,955.0,2007.0
119,584,1843.0,2005.0
120,587,2656.0,1997.0
121,590,2334.0,1997.0
122,594,1280.0,1999.0
123,606,983.0,2003.0
124,606,1859.0,2006.0
125,613,2671.0,2001.0
126,618,2352.0,2004.0
127,621,1291.0,2007.0
128,624,988.0,2010.0
129,630,1860.0,2012.0
130,632,2674.0,2008.0
131,632,2348.0,2009.0
132,636,1303.0,2013.0
133,642,1002.0,2016.0
134,648,1891.0,2023.0
135,650,2713.0,2024.0
136,656,2396.0,2031.0
137,658,1349.0,2039.0
138,660,1058.0,2048.0
139,665,1928.0,2055.0
140,674,2739.0,2056.0
141,674,2432.0,2064.0
142,678,1372.0,2069.0
143,688,1081.0,2076.0
144,690,1964.0,2084.0
145,696,2788.0,2089.0
146,705,2466.0,2097.0
147,708,1421.0,2105.0
148,710,1156.0,2118.0
149,717,2070.0,2136.0
150,727,2948.0,2159.0
151,741,2641.0,2185.0
152,746,1577.0,2204.0
153,751,1277.0,2221.0
154,756,2141.0,2234.0
155,756,2944.0,2238.0
156,759,2583.0,2239.0
157,763,1494.0,2233.0
158,763,1165.0,2224.0
159,767,1991.0,2209.0
160,771,2765.0,2185.0
161,774,2379.0,2159.0
162,774,1278.0,2129.0
163,777,940.0,2097.0
164,781,1773.0,2066.0
165,784,2546.0,2029.0
166,793,2190.0,1997.0
167,795,1084.0,1962.0
168,795,743.0,1926.0
169,798,1592.0,1894.0
170,807,2375.0,1858.0
171,808,2053.0,1834.0
172,811,972.0,1808.0
173,816,668.0,1788.0
174,823,1552.0,1775.0
175,823,2364.0,1760.0
176,831,2028.0,1750.0
177,835,956.0,1738.0
178,846,648.0,1729.0
179,850,1530.0,1724.0
180,854,2360.0,1718.0
181,856,2051.0,1721.0
182,861,974.0,1720.0
183,879,669.0,1719.0
184,881,1553.0,1722.0
185,885,2373.0,1720.0
186,890,2051.0,1724.0
187,896,975.0,1724.0
188,898,677.0,1725.0
189,900,1560.0,1729.0
190,902,2394.0,1732.0
191,906,2071.0,1738.0
192,908,998.0,1741.0
193,917,683.0,1742.0
194,921,1590.0,1750.0
195,925,2414.0,1753.0
196,926,2115.0,1765.0
197,932,1063.0,1775.0
198,933,767.0,1786.0
199,940,1651.0,1798.0
200,943,2460.0,1803.0
201,945,2155.0,1814.0
202,955,1096.0,1822.0
203,959,796.0,1830.0
204,959,1682.0,1841.0
205,966,2492.0,1844.0
206,976,2184.0,1854.0
207,981,1115.0,1859.0
208,984,805.0,1863.0
209,987,1674.0,1868.0
210,999,2475.0,1864.0
211,1001,2154.0,1866.0
212,1008,1080.0,1863.0
213,1011,768.0,1861.0
214,1013,1635.0,1859.0
215,1018,2435.0,1852.0
216,1023,2126.0,1851.0
217,1027,1066.0,1849.0
218,1029,759.0,1848.0
219,1036,1631.0,1849.0
220,1039,2433.0,1844.0
221,1043,2125.0,1846.0
222,1046,1061.0,1845.0
223,1049,750.0,1844.0
224,1056,1625.0,1846.0
225,1056,2443.0,1844.0
226,1058,2121.0,1846.0
227,1067,1026.0,1840.0
228,1069,665.0,1826.0
229,1069,1501.0,1811.0
230,1078,2308.0,1793.0
231,1084,1988.0,1781.0
232,1090,924.0,1768.0
233,1090,617.0,1760.0
234,1096,1495.0,1757.0
235,1107,2300.0,1748.0
236,1113,1986.0,1745.0
237,1115,915.0,1740.0
238,1118,611.0,1737.0
239,1121,1486.0,1737.0
240,1122,2289.0,1732.0
241,1135,1969.0,1731.0
242,1139,897.0,1726.0
243,1146,605.0,1725.0
244,1146,1496.0,1731.0
245,1152,2340.0,1736.0
246,1153,2052.0,1750.0
247,1160,980.0,1758.0
248,1160,668.0,1765.0
