Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2049,2049
27,75,2049,2049
28,77,2050,2050
29,80,2051,2051
30,83,2052,2052
31,86,2054,2054
32,88,2057,2057
33,91,2060,2060
34,94,2064,2064
35,97,2069,2069
36,100,2074,2074
37,102,2080,2080
38,105,2086,2086
39,108,2091,2091
40,111,2096,2096
41,113,2100,2100
42,116,2102,2102
43,119,2103,2103
44,122,2102,2102
45,125,2100,2100
46,127,2096,2096
47,130,2091,2091
48,133,2086,2086
49,136,2080,2080
50,138,2074,2074
51,141,2069,2069
52,144,2064,2064
53,147,2060,2060
54,150,2057,2057
55,152,2054,2054
56,155,2052,2052
57,158,2051,2051
58,161,2050,2050
59,163,2049,2049
60,166,2049,2049
61,169,2048,2048
62,172,2048,2048
63,175,2048,2048
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2048,2048
71,197,2048,2048
72,200,2048,2048
73,202,2048,2048
74,205,2048,2048
75,208,2048,2048
76,211,2048,2048
77,213,2048,2048
78,216,2048,2048
79,219,2051,2051
80,222,2052,2052
81,225,2055,2055
82,227,2058,2058
83,230,2063,2063
84,233,2069,2069
85,236,2078,2078
86,238,2089,2089
87,241,2103,2103
88,244,2120,2120
89,247,2141,2141
90,250,2165,2165
91,252,2192,2192
92,255,2221,2221
93,258,2252,2252
94,261,2284,2284
95,263,2314,2314
96,266,2342,2342
97,269,2365,2365
98,272,2383,2383
99,275,2394,2394
100,277,2398,2398
101,280,2394,2394
102,283,2383,2383
103,286,2365,2365
104,288,2342,2342
105,291,2314,2314
106,294,2284,2284
107,297,2252,2252
108,300,2221,2221
109,302,2192,2192
110,305,2165,2165
111,308,2141,2141
112,311,2120,2120
113,313,2103,2103
114,316,2089,2089
115,319,2078,2078
116,322,2069,2069
117,325,2063,2063
118,327,2058,2058
119,330,2055,2055
120,333,2052,2052
121,336,2048,2048
122,338,2048,2048
123,341,2048,2048
124,344,2048,2048
125,347,2048,2048
126,350,2048,2048
127,352,2048,2048
128,355,2048,2048
129,358,2048,2048
130,361,2048,2048
131,363,2048,2048
132,366,2048,2048
133,369,2048,2048
134,372,2048,2048
135,375,2048,2048
136,377,2048,2048
137,380,2048,2048
138,383,2048,2048
139,386,2048,2048
140,388,2048,2048
141,391,2048,2048
142,394,2048,2048
143,397,2048,2048
144,400,2048,2048
145,402,2048,2048
146,405,2048,2048
147,408,2048,2048
148,411,2048,2048
149,413,2048,2048
150,416,2048,2048
151,419,2049,2049
152,422,2049,2049
153,425,2049,2049
154,427,2050,2050
155,430,2051,2051
156,433,2051,2051
157,436,2053,2053
158,438,2054,2054
159,441,2056,2056
160,444,2058,2058
161,447,2060,2060
162,450,2063,2063
163,452,2067,2067
164,455,2070,2070
165,458,2075,2075
166,461,2080,2080
167,463,2085,2085
168,466,2091,2091
169,469,2097,2097
170,472,2103,2103
171,475,2109,2109
172,477,2115,2115
173,480,2120,2120
174,483,2125,2125
