Index,Time_ms,Raw,Filtered
0,0,2048,2048
1,2,2048,2048
2,5,2048,2048
3,8,2048,2048
4,11,2048,2048
5,13,2048,2048
6,16,2048,2048
7,19,2048,2048
8,22,2048,2048
9,25,2048,2048
10,27,2048,2048
11,30,2048,2048
12,33,2048,2048
13,36,2048,2048
14,38,2048,2048
15,41,2048,2048
16,44,2048,2048
17,47,2048,2048
18,50,2048,2048
19,52,2048,2048
20,55,2048,2048
21,58,2048,2048
22,61,2048,2048
23,63,2048,2048
24,66,2048,2048
25,69,2048,2048
26,72,2048,2048
27,75,2048,2048
28,77,2048,2048
29,80,2048,2048
30,83,2048,2048
31,86,2048,2048
32,88,2048,2048
33,91,2048,2048
34,94,2048,2048
35,97,2048,2048
36,100,2048,2048
37,102,2048,2048
38,105,2048,2048
39,108,2048,2048
40,111,2048,2048
41,113,2048,2048
42,116,2048,2048
43,119,2048,2048
44,122,2048,2048
45,125,2048,2048
46,127,2048,2048
47,130,2048,2048
48,133,2048,2048
49,136,2048,2048
50,138,2048,2048
51,141,2048,2048
52,144,2048,2048
53,147,2048,2048
54,150,2048,2048
55,152,2048,2048
56,155,2048,2048
57,158,2048,2048
58,161,2048,2048
59,163,2048,2048
60,166,2048,2048
61,169,2048,2048
62,172,2048,2048
63,175,2048,2048
64,177,2048,2048
65,180,2048,2048
66,183,2048,2048
67,186,2048,2048
68,188,2048,2048
69,191,2048,2048
70,194,2049,2049
71,197,2049,2049
72,200,2050,2050
73,202,2051,2051
74,205,2052,2052
75,208,2054,2054
76,211,2057,2057
77,213,2060,2060
78,216,2064,2064
79,219,2069,2069
80,222,2074,2074
81,225,2080,2080
82,227,2086,2086
83,230,2091,2091
84,233,2096,2096
85,236,2100,2100
86,238,2102,2102
87,241,2103,2103
88,244,2102,2102
89,247,2100,2100
90,250,2096,2096
91,252,2091,2091
92,255,2086,2086
93,258,2080,2080
94,261,2074,2074
95,263,2069,2069
96,266,2064,2064
97,269,2060,2060
98,272,2057,2057
99,275,2054,2054
100,277,2052,2052
101,280,2051,2051
102,283,2050,2050
103,286,2049,2049
104,288,2049,2049
105,291,2048,2048
106,294,2048,2048
107,297,2048,2048
108,300,2048,2048
109,302,2048,2048
110,305,2048,2048
111,308,2048,2048
112,311,2048,2048
113,313,2048,2048
114,316,2048,2048
115,319,2048,2048
116,322,2048,2048
117,325,2048,2048
118,327,2048,2048
119,330,2048,2048
120,333,2048,2048
121,336,2048,2048
122,338,2048,2048
123,341,2051,2051
124,344,2052,2052
125,347,2055,2055
126,350,2058,2058
127,352,2063,2063
128,355,2069,2069
129,358,2078,2078
130,361,2089,2089
131,363,2103,2103
132,366,2120,2120
133,369,2141,2141
134,372,2165,2165
135,375,2192,2192
136,377,2221,2221
137,380,2252,2252
138,383,2284,2284
139,386,2314,2314
140,388,2342,2342
141,391,2365,2365
142,394,2383,2383
143,397,2394,2394
144,400,2398,2398
145,402,2394,2394
146,405,2383,2383
147,408,2365,2365
148,411,2342,2342
149,413,2314,2314
150,416,2284,2284
151,419,2252,2252
152,422,2221,2221
153,425,2192,2192
154,427,2165,2165
155,430,2141,2141
156,433,2120,2120
157,436,2103,2103
158,438,2089,2089
159,441,2078,2078
160,444,2069,2069
161,447,2063,2063
162,450,2058,2058
163,452,2055,2055
164,455,2052,2052
165,458,2048,2048
166,461,2048,2048
167,463,2048,2048
168,466,2048,2048
169,469,2048,2048
170,472,2048,2048
171,475,2048,2048
172,477,2048,2048
173,480,2048,2048
174,483,2048,2048
