Index,Time_ms,Raw,Filtered
0,0,2050,2050
1,2,2051,2051
2,5,2052,2052
3,8,2054,2054
4,11,2057,2057
5,13,2060,2060
6,16,2064,2064
7,19,2069,2069
8,22,2074,2074
9,25,2080,2080
10,27,2086,2086
11,30,2091,2091
12,33,2096,2096
13,36,2100,2100
14,38,2102,2102
15,41,2103,2103
16,44,2102,2102
17,47,2100,2100
18,50,2096,2096
19,52,2091,2091
20,55,2086,2086
21,58,2080,2080
22,61,2074,2074
23,63,2069,2069
24,66,2064,2064
25,69,2060,2060
26,72,2057,2057
27,75,2054,2054
28,77,2052,2052
29,80,2051,2051
30,83,2050,2050
31,86,2049,2049
32,88,2049,2049
33,91,2048,2048
34,94,2048,2048
35,97,2048,2048
36,100,2048,2048
37,102,2048,2048
38,105,2048,2048
39,108,2048,2048
40,111,2048,2048
41,113,2048,2048
42,116,2048,2048
43,119,2048,2048
44,122,2048,2048
45,125,2048,2048
46,127,2048,2048
47,130,2048,2048
48,133,2048,2048
49,136,2048,2048
50,138,2048,2048
51,141,2051,2051
52,144,2052,2052
53,147,2055,2055
54,150,2058,2058
55,152,2063,2063
56,155,2069,2069
57,158,2078,2078
58,161,2089,2089
59,163,2103,2103
60,166,2120,2120
61,169,2141,2141
62,172,2165,2165
63,175,2192,2192
64,177,2221,2221
65,180,2252,2252
66,183,2284,2284
67,186,2314,2314
68,188,2342,2342
69,191,2365,2365
70,194,2383,2383
71,197,2394,2394
72,200,2398,2398
73,202,2394,2394
74,205,2383,2383
75,208,2365,2365
76,211,2342,2342
77,213,2314,2314
78,216,2284,2284
79,219,2252,2252
80,222,2221,2221
81,225,2192,2192
82,227,2165,2165
83,230,2141,2141
84,233,2120,2120
85,236,2103,2103
86,238,2089,2089
87,241,2078,2078
88,244,2069,2069
89,247,2063,2063
90,250,2058,2058
91,252,2055,2055
92,255,2052,2052
93,258,2048,2048
94,261,2048,2048
95,263,2048,2048
96,266,2048,2048
97,269,2048,2048
98,272,2048,2048
99,275,2048,2048
100,277,2048,2048
101,280,2048,2048
102,283,2048,2048
103,286,2048,2048
104,288,2048,2048
105,291,2048,2048
106,294,2048,2048
